id,tenquan,diachi,rating
63,Gờ Cafe - Phan Văn Trị,"64 Phan Văn Trị, P. 2, Quận 5, TP. HCM",4.5
64,Bánh Bao Thúy Đỗ - Bánh Bao Xá Xíu Phô Mai - 173 Nguyễn Thiện Thuật,"173 Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",4.5
65,Cháo Ếch Singapore 1992 - Cháo Ếch - Cách Mạng Tháng 8,"1054/15/1A Cách Mạng Tháng 8, P. 4, Tân Bình, TP. HCM",4.5
66,TH true mart - Phạm Hùng - 70000220,"231 Phạm Hùng, P. 4, Quận 8, TP. HCM",4.5
67,Starbucks Coffee - Kim Long Villa,"53 - 55 Khu Biệt Thự Kim Long, X.Phước Kiển, Nhà Bè, TP. HCM",4.5
68,"Cơm Gà, Cháo, Miến Gỏi Gà Ta Tường Vy - Nguyễn Thượng Hiền","154 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",4.5
69,Cháo Sườn Phong - Cháo Sườn - Cách Mạng Tháng 8,"1054/15/1 Cách Mạng Tháng 8, P. 4, Tân Bình, TP. HCM",4.5
70,Kem Dairy Queen - Lotte Mart Gò Vấp,"Tầng Trệt, Tầng Trệt Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10, Gò Vấp, TP. HCM",4.5
71,VietBerry - Trái Cây Gọt Sẵn & Trà Trái Cây Tươi - Âu Cơ,"159 Âu Cơ, P. 14, Quận 11, TP. HCM",0
72,Sữa Chua Trân Châu Hạ Long - Đường Số 7,"247 Đường Số 7, P. Bình Trị Đông B, Bình Tân, TP. HCM",4.5
73,Bánh Tráng Cô Sương - Bánh Tráng Chấm & Bánh Tráng Cuốn - Phùng Văn Cung,"2G Phùng Văn Cung, P. 7, Phú Nhuận, TP. HCM",4.5
74,Bún Đậu Mắm Tôm - VUA ĐẬU & BÚN ĐẬU NHÀ VUA - 254 Vạn Kiếp,"254 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",4.5
75,Ai-CHA - Phan Xích Long,"228 Phan Xích Long, P. 7, Phú Nhuận, TP. HCM",4.5
76,Cơm Tấm Ba Ghiền Không Chi Nhánh - 84 Đặng Văn Ngữ,"84 Đặng Văn Ngữ, P. 10, Phú Nhuận, TP. HCM",4.5
77,Thành Đạt - Hủ Tiếu Nam Vang - 22C Nguyễn Hữu Cầu,"22C Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5
78,"ReViet Juice - Nước Ép, Sinh Tố & Detox - Nguyễn Hồng Đào","10 Nguyễn Hồng Đào, P. 14, Tân Bình, TP. HCM",4.5
79,2 Chị Em - Cơm Gà Nha Trang - Trường Sơn,"CC19 Trường Sơn, P. 15, Quận 10, TP. HCM",4.5
80,Hệ Thống Cháo Ếch Singapore Bếp Cậu Cả Chi Nhánh 3 Sài Gòn,"205/41/15 Phạm Văn Chiêu, P. 14, Gò Vấp, TP. HCM",4.5
81,Quán YẾN - Hủ Tiếu Bò Viên - 8 Đỗ Tấn Phong,"8 Đỗ Tấn Phong, P. 9, Phú Nhuận, TP. HCM",4.5
82,Ăn Vặt Mẹ Thóc - Gà Ủ Muối & Ăn Vặt,"32/53/58 Huỳnh Văn Chính, P. Phú Trung, Tân Phú, TP. HCM",4.5
83,Lẩu Chay Thiện Tâm - Hoàng Diệu 2,"248 Hoàng Diệu 2, P. Linh Chiểu, Thành Phố Thủ Đức, TP. HCM",4.5
84,"Phố Nhà Bự Quán - Mì Ý Spaghetti Tokbokki, Tàu Hũ Singapore Sữa Trà & Bánh Bò Bía Ngọt","193 Huỳnh Văn Nghệ, P. 12, Gò Vấp, TP. HCM",3.5
85,K-Town Kitchen - Đường Số 8,"132 Đường Số 8, P. Bình Hưng Hoà A, Bình Tân, TP. HCM",4.5
86,Momotaro Sushi - Đường Số 8,"202 Đường Số 8, P. Bình Hưng Hoà B, Bình Tân, TP. HCM",4.5
87,Trà Daily Tea - Trà Sữa Pha Máy & Trà Tươi Mát - Lê Quang Định,"442/4 Lê Quang Định, P. 11, Bình Thạnh, TP. HCM",4.5
88,Súp Bào Ngư Vi Cá Hải Sâm Nguyễn Lân Food - Súp Bào Ngư & Vi Cá  - Thoại Ngọc Hầu,"122/11 Thoại Ngọc Hầu, P. Phú Thọ Hòa, Tân Phú, TP. HCM",4.5
89,Nước Ép 100 Vị - Nguyễn Đình Chiểu,"596/1A Nguyễn Đình Chiểu, P. 3, Quận 3, TP. HCM",4.5
90,BÚN BÒ PHÚ HƯNG - BÚN BÒ XƯƠNG KHỦNG,"04 Đường 65, P. Tân Phong, Quận 7, TP. HCM",4.5
91,Gà Nướng Mlem Food - Gà Nướng Mắm Nhĩ Thượng Hạng & Gà Nướng Ngũ Vị Đặc Biệt - Tô Ngọc Vân,"79 Tô Ngọc Vân, P. Linh Tây, Thành Phố Thủ Đức, TP. HCM",4.5
92,Ăn Vặt Dương Gia & Cá Viên Chiên - Dương Quảng Hàm,"170/14 Dương Quảng Hàm, P. 5, Gò Vấp, TP. HCM",4.5
93,Nhẹ Tênh Coffee & Tea - Lê Văn Lương,"552 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",5
94,Cô Thúy - Bánh Tráng Trộn Muối Tỏi - 234/4/2 Nguyễn Văn Đậu,"234/4/2 Nguyễn Văn Đậu, P. 11, Bình Thạnh, TP. HCM",4.5
95,Phú Quý - Cơm Gà Da Giòn - Huỳnh Tấn Phát,"730/3B Huỳnh Tấn Phát, P. Tân Phú, Quận 7, TP. HCM",4.5
96,Newdays Matcha Tân Quy - Đường Số 30,"Số 8, Đường Số 30, P. Tân Quy, Quận 7, TP. HCM",4.5
