idquan,rating,item,price
167,5,Canh kimchi bạch tuộc,52000
168,4.5,Canh kimchi bạch tuộc,52000
169,4.5,Canh kimchi bạch tuộc,52000
170,3.5,Canh kimchi bạch tuộc,52000
171,4.5,Canh kimchi bạch tuộc,52000
172,4.5,Canh kimchi bạch tuộc,52000
173,4.5,Canh kimchi bạch tuộc,52000
174,4.5,Canh kimchi bạch tuộc,52000
175,4.5,Canh kimchi bạch tuộc,52000
176,4.5,Canh kimchi bạch tuộc,52000
177,4.5,Canh kimchi bạch tuộc,52000
178,4.5,Canh kimchi bạch tuộc,52000
179,4.5,Canh kimchi bạch tuộc,52000
180,4.5,Canh kimchi bạch tuộc,52000
181,4.5,Canh kimchi bạch tuộc,52000
182,4.5,Canh kimchi bạch tuộc,52000
183,4.5,Canh kimchi bạch tuộc,52000
184,4.5,Canh kimchi bạch tuộc,52000
185,4.5,Canh kimchi bạch tuộc,52000
186,4.5,Canh kimchi bạch tuộc,52000
187,4.5,Canh kimchi bạch tuộc,52000
188,4.5,Canh kimchi bạch tuộc,52000
189,4.5,Canh kimchi bạch tuộc,52000
190,4.5,Canh kimchi bạch tuộc,52000
191,4.5,Canh kimchi bạch tuộc,52000
192,4.5,Canh kimchi bạch tuộc,52000
193,4.5,Canh kimchi bạch tuộc,52000
194,4.5,Canh kimchi bạch tuộc,52000
195,4.5,Canh kimchi bạch tuộc,52000
196,4.5,Canh kimchi bạch tuộc,52000
197,4.5,Canh kimchi bạch tuộc,52000
198,4.5,Canh kimchi bạch tuộc,52000
199,4.5,Canh kimchi bạch tuộc,52000
